,road,class_name,spectral_centroid,mfcc_mean,mfcc_var,zcr,leq
51,JEVANJEE MOI AVENUE (1° 16_ 51_ S 36°49_ 13_ E),PSV,1925.3281691461173,6.908494221136152e-09,0.999999965940203,0.07348944,0.0
52,JEVANJEE MOI AVENUE (1° 16_ 51_ S 36°49_ 13_ E),SUV,1910.219455704681,-8.699506075515728e-09,0.9999999785423279,0.075085,0.0
53,JEVANJEE MOI AVENUE (1° 16_ 51_ S 36°49_ 13_ E),motorcycle,1910.6292523081358,-5.35979823486817e-09,0.9999999602635702,0.07735653,0.0
54,JOGOO ROAD(1°17_49_S 36°52_29_E),PSV,1239.207341458317,-8.316927443037988e-09,0.9999999056259791,0.03955303,0.0
55,JOGOO ROAD(1°17_49_S 36°52_29_E),SUV,1129.1193837375552,-2.42043904235673e-08,0.9999999174704919,0.03651661,0.0
56,JOGOO ROAD(1°17_49_S 36°52_29_E),motorcycle,934.3158050671558,2.3472215578597872e-08,0.9999999105930328,0.027096592,0.0
57,JOGOO ROAD(1°17_49_S 36°52_29_E),other,879.2084257723625,-7.873357565912898e-09,0.9999998897314072,0.029118467,0.0
58,KANGEMI (1°15_ 52_S 36°44_ 40_E),PSV,1876.3835838254693,-2.344818986088626e-08,0.9999999618530273,0.071700454,0.0
59,KANGEMI (1°15_ 52_S 36°44_ 40_E),SUV,1772.7978915490262,2.736268971403888e-08,0.9999999403953552,0.077485226,0.0
60,KANGEMI (1°15_ 52_S 36°44_ 40_E),heavy truck,1845.475213873302,-3.908955648057599e-08,0.9999999105930328,0.06952272,0.0
61,KANGEMI (1°15_ 52_S 36°44_ 40_E),motorcycle,1901.963981719592,-2.003917393504177e-08,0.9999999880790711,0.0738822,0.0
62,KANGEMI (1°15_ 52_S 36°44_ 40_E),other,1650.662541099084,6.2839025834667455e-09,0.9999998410542806,0.06603788,0.0
63,KAREN C SCHOOL (1°20_19_S 36°44_27_E),PSV,2111.8135067834237,-4.274900575751417e-08,0.9999999463558197,0.07436705,0.0
64,KAREN C SCHOOL (1°20_19_S 36°44_27_E),SUV,2011.0704165402294,6.246664670495715e-08,0.9999999544199776,0.078741975,0.0
65,KAREN C SCHOOL (1°20_19_S 36°44_27_E),bus,2006.776293902795,-2.0330266655340285e-08,1.0000000198682149,0.07305303,0.0
66,KAREN C SCHOOL (1°20_19_S 36°44_27_E),motorcycle,2092.1731891586783,2.599039734944726e-08,0.9999999376860532,0.07557361,0.0
67,KAREN C SCHOOL (1°20_19_S 36°44_27_E),other,1698.1541709668918,7.318895711705409e-08,0.9999998807907104,0.05818182,0.0
68,KAWANGWARE (1°17_09_ S 36°44_21_E),PSV,2516.5741473275607,2.5917437085354322e-09,1.0000000094112598,0.096069075,0.0
69,KAWANGWARE (1°17_09_ S 36°44_21_E),bicycle,2474.319933788148,-6.48720313023432e-08,1.0,0.105221584,0.0
70,KAWANGWARE (1°17_09_ S 36°44_21_E),bus,2265.375150988226,-1.4554624172546937e-09,1.0,0.08991477,0.0
71,KAWANGWARE (1°17_09_ S 36°44_21_E),motorcycle,2394.792811877553,1.3129655727084355e-08,1.0000000023841857,0.094916366,0.0
72,KAWANGWARE (1°17_09_ S 36°44_21_E),other,2628.089212219515,-1.6818674453134008e-08,0.999999980131785,0.11137121,0.0
73,KCB UTAWALA EASTERN BYPASS(1°17_04_S 36°57_25_E),SUV,2443.793434179712,1.4166499795464915e-07,0.9999998211860657,0.11413636,0.0
74,KCB UTAWALA EASTERN BYPASS(1°17_04_S 36°57_25_E),bicycle,2015.604964282403,-2.7168627643921656e-08,0.9999999602635702,0.071293555,0.0
75,KCB UTAWALA EASTERN BYPASS(1°17_04_S 36°57_25_E),bus,1481.6576165499541,-1.7631884929869557e-07,0.9999998807907104,0.04940909,0.0
76,KCB UTAWALA EASTERN BYPASS(1°17_04_S 36°57_25_E),motorcycle,1659.4541518653884,9.668427863873674e-09,0.9999999199062586,0.061745204,0.0
77,KCB UTAWALA EASTERN BYPASS(1°17_04_S 36°57_25_E),other,4040.7658458666965,4.435694478388541e-09,0.9999999403953552,0.26104546,0.0
78,KCB UTAWALA EASTERN BYPASS(1°17_04_S 36°57_25_E),private car,1568.728892626043,-3.3110191114102155e-08,0.9999999133023348,0.062138427,0.0
79,KFC EMBAKASI (1°19_05_S 36°55_02_E),PSV,1731.8330656775806,2.66661481923558e-08,0.9999998956918716,0.077721596,0.0
80,KFC EMBAKASI (1°19_05_S 36°55_02_E),SUV,1630.0861065139304,4.2254611069362604e-08,0.9999999006589254,0.07852652,0.0
81,KFC EMBAKASI (1°19_05_S 36°55_02_E),bicycle,1626.8213909175447,7.318895711705409e-08,0.9999999403953552,0.05103409,0.0
82,KFC EMBAKASI (1°19_05_S 36°55_02_E),bus,1609.5332143946737,1.1089236195971353e-08,0.9999998807907104,0.07165909,0.0
83,KFC EMBAKASI (1°19_05_S 36°55_02_E),motorcycle,1716.803066805102,9.663476495193533e-09,0.9999999489103045,0.06536526,0.0
84,KFC EMBAKASI (1°19_05_S 36°55_02_E),other,891.8001055562735,0.0,0.9999998211860657,0.035761364,0.0
85,KFC EMBAKASI (1°19_05_S 36°55_02_E),pickup,1979.325777467717,2.8000321764902008e-08,0.9999999602635702,0.09182197,0.0
86,KFC EMBAKASI (1°19_05_S 36°55_02_E),private car,1651.2261519998594,4.053988585157926e-08,0.9999998874134488,0.07762942,0.0
87,KIAMBU ROAD (1°12_28_ S 36°49_56_E),PSV,1975.3634243868114,-1.599622283521285e-08,0.9999999403953552,0.08096023,0.0
88,KIAMBU ROAD (1°12_28_ S 36°49_56_E),SUV,1976.2315107355796,-4.596488452079939e-08,0.9999999165534973,0.0841466,0.0
89,KIAMBU ROAD (1°12_28_ S 36°49_56_E),bicycle,2801.5685669926975,-9.314958759887304e-08,0.9999998807907104,0.11317045,0.0
90,KIAMBU ROAD (1°12_28_ S 36°49_56_E),motorcycle,1946.299644995757,5.2913780024255175e-09,0.9999999128855191,0.076381996,0.0
91,KIAMBU ROAD (1°12_28_ S 36°49_56_E),pickup,2131.5894915216395,-5.8634335386997805e-08,0.9999998907248179,0.08709849,0.0
92,KIAMBU ROAD (1°12_28_ S 36°49_56_E),private car,1957.451972896622,1.8743890291735472e-08,0.9999999271498786,0.087871216,0.0
93,KIAMBU ROAD (1°13_45_S 36°50_26_E),PSV,1890.5786899366567,4.265090844604367e-09,0.9999999220554645,0.07937675,0.0
94,KIAMBU ROAD (1°13_45_S 36°50_26_E),SUV,1655.0560934702046,1.420808359853254e-08,1.0,0.07102273,0.0
95,KIAMBU ROAD (1°13_45_S 36°50_26_E),motorcycle,2237.9209808205646,-1.3861607286839097e-10,0.9999999439015108,0.09023663,0.0
96,KIAMBU ROAD (1°13_45_S 36°50_26_E),pickup,2193.697056986277,-3.6964102889669448e-09,0.9999999403953552,0.091874994,0.0
97,KIAMBU ROAD (1°13_45_S 36°50_26_E),private car,1863.780223327281,-2.9411504491131762e-08,0.9999999238385094,0.08517771,0.0
98,KINOO (1° 15_ 23_ S 36° 41_ 49_),PSV,1649.8618636324584,-3.5643993576800745e-10,0.9999998864673433,0.0803152,0.0
99,KINOO (1° 15_ 23_ S 36° 41_ 49_),SUV,1584.1685287297444,8.206034844230696e-08,0.9999998807907104,0.07160985,0.0
100,KINOO (1° 15_ 23_ S 36° 41_ 49_),bicycle,681.3981577763631,1.6855639728419192e-07,0.9999998211860657,0.031477273,0.0
101,KINOO (1° 15_ 23_ S 36° 41_ 49_),motorcycle,1663.9297220265375,-4.3315462328052945e-11,0.9999998770654202,0.0699304,0.0
102,KINOO (1° 15_ 23_ S 36° 41_ 49_),pickup,1196.877339269903,5.174977187512771e-09,0.9999998807907104,0.06037879,0.0
103,KINOO (1° 15_ 23_ S 36° 41_ 49_),private car,1379.7988925756188,-5.092385155225365e-08,0.9999998807907104,0.06448296,0.0
104,LANGATA LINK 1°19_19_S  36°47_01_E,PSV,1854.1206182144806,3.4307334195737837e-09,0.9999998956918716,0.0754169,0.0
105,LANGATA LINK 1°19_19_S  36°47_01_E,SUV,1887.756746666885,-4.380248223393816e-08,0.9999998509883881,0.08143371,0.0
106,LANGATA LINK 1°19_19_S  36°47_01_E,bicycle,1138.4942116509826,-5.877295331894553e-08,0.9999999006589254,0.046007574,0.0
107,LANGATA LINK 1°19_19_S  36°47_01_E,motorcycle,1826.1670135526506,-9.096640107841836e-10,0.999999888241291,0.06835618,0.0
108,LANGATA LINK 1°19_19_S  36°47_01_E,private car,1613.9347416686796,-9.77238872046371e-09,0.9999999582767487,0.06420113,0.0
